INFO 2026-05-15 14:41:17,547 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 15:04:47,682 log "GET /api/appointments/?patient=1 HTTP/1.1" 200 1257
INFO 2026-05-15 15:05:37,043 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 15:05:37,079 log "GET /api/patients/1/ HTTP/1.1" 200 486
INFO 2026-05-15 15:05:37,101 log "GET /api/treatments/?patient=1 HTTP/1.1" 200 905
INFO 2026-05-15 15:05:37,122 log "GET /api/appointments/?patient=1 HTTP/1.1" 200 1257
INFO 2026-05-15 15:05:37,138 log "GET /api/payments/?patient=1 HTTP/1.1" 200 565
INFO 2026-05-15 15:05:37,152 log "GET /api/documents/?patient=1 HTTP/1.1" 200 52
INFO 2026-05-15 15:05:46,910 log "GET /api/patients/ HTTP/1.1" 200 2319
INFO 2026-05-15 15:05:47,724 log "GET /api/documents/?patient=1 HTTP/1.1" 200 52
INFO 2026-05-15 15:05:47,731 log "GET /api/patients/1/ HTTP/1.1" 200 486
INFO 2026-05-15 15:05:47,733 log "GET /api/payments/?patient=1 HTTP/1.1" 200 565
INFO 2026-05-15 15:05:47,737 log "GET /api/treatments/?patient=1 HTTP/1.1" 200 905
INFO 2026-05-15 15:05:47,740 log "GET /api/appointments/?patient=1 HTTP/1.1" 200 1257
